段階	検証ID	フロー	検証内容	初期設定（前提データ）	操作・前提条件	期待挙動（判定基準）	スクショファイル名	証跡（撮る画面と状態）	画面（どこを開いて操作するか）	確認ポイント	対応する条件ID	ヘルプ該当箇所	実際の値	判定	根拠・備考
P7_再取り込み	OP-710	2	中断データが新規の取り込みに混ざらない	前提データ: なし	中断した状態のまま「続きから再開」を使わず、インポートを最初から始める	中断分のデータが自動で入らない（自動で入った件数＝0件）。空の状態から始まる	OP-710_中断データが新規の取り込.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1）	**混ざると身に覚えのないデータが登録される。** 中断データの扱いが選べること	AC-075	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P8_権限	OP-804	2 / 4	店長が担当店舗の従業員を取り込める	前提データ: D0-2	店長（管理者）で、担当店舗のみの④従業員ファイルを取り込む	全行が登録される。担当店舗の従業員として正しく反映される	OP-804_店長が担当店舗の従業員を.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single） ／ 設定 → 従業員 → 従業員一覧	**OP-803はエラー側のみ。正常系が通ることを確認する**	AC-076	13番 権限による違い（従業員は担当店舗のみ）			
P6_データ確認	OP-620	2	導入が通しで完了する	前提データ: D0-10（0件の状態）／D1〜D5（5種類すべて）	D1〜D5を①→②→③→④→⑤の順に取り込み、完了画面から招待メールを送る。届いたメールから従業員がパスワードを設定してログインする	5種別すべてが登録され、招待メールが届き、従業員がログインして打刻画面に到達できる	OP-620_導入が通しで完了する.png	通しの節目4枚（アップロード完了／確認画面／完了画面／従業員が打刻画面に到達した画面）	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口） → アップロード（s-tpl1）→ 確認（s-tpl2）→ 完了（s-tpl3）→ 設定の各一覧画面	**この機能の目的は、打刻を始められる状態まで到達させること。** 個々の条件が合格でも、通しで完了しなければ価値が出ない	AC-077 / AC-078	3番 はじめて登録する方へ（CSVで一括登録） ／ 10番 招待メールを送る			
PS_セルフスタート	OP-021	1	初期セットアップから手入力で登録する	前提データ: D0-10／D1／D1-1	b0（初期セットアップ）の①業態のステップを開き、業態名を入力して登録する	3件が登録され、ステップの「登録済み」件数が3件になる	OP-021_初期セットアップから手入.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口） ／ 設定 → 業態 → 業態設定	セルフスタートの本体。CSVを使わない顧客はこの経路だけを通る	AC-112	2番 登録の手順			
PS_セルフスタート	OP-022	1	順序ガードが効く	前提データ: D0-10	①業態が未登録の状態で、③雇用区分のステップ（done+1 より先）を開こうとする	警告バナーが出て登録ボタンが押せない（登録できた件数＝0件）	OP-022_順序ガードが効く.png	初期セットアップ画面のステップ一覧（登録済み件数と、進める／進めないの状態）	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口）	**参照先が無い状態で登録させない。** インポートの取り込み順序と同じ制約	AC-101	1番 はじめて登録するときの順番（順番を飛ばすと登録できません）			
PS_セルフスタート	OP-023	1	登録済みステップを再編集できる	前提データ: なし	①を登録した後、①のステップをもう一度開く	「再編集」として開き、登録済みの内容が見える／追加登録もできる	OP-023_登録済みステップを再編集.png	初期セットアップ画面のステップ一覧（登録済み件数と、進める／進めないの状態）	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口）	N<=done は再編集モード（owner-mock	AC-102	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			§5.3
PS_セルフスタート	OP-024	1	登録完了で次のステップへ誘導される	前提データ: なし	①業態を登録して完了する	中央にCTAモーダルが出て「次の登録に進む」「初期セットアップへ戻る」が選べる	OP-024_登録完了で次のステップへ.png	初期セットアップ画面のステップ一覧（登録済み件数と、進める／進めないの状態）	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口）	新規登録モードのみ中央モーダル。順序を守らせるための強誘導	AC-104	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
PS_セルフスタート	OP-025	1 / 3	4項目完了で運用更新モードに切り替わる	前提データ: なし	①〜④をすべて登録した後、設定画面（*-settings）を開く	運用更新画面（*-ops-settings）へ転送される。サイドバーが「設定(運用)」になる	OP-025_4項目完了で運用更新モー.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定の各一覧画面（業態設定／店舗設定／雇用区分設定／従業員一覧／管理者一覧）	done>=4 で applySetupModeOnSettings が転送（owner-mock	AC-103	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			§3.3
PS_セルフスタート	OP-026	1	マスタ参照のプルダウンが連動する	前提データ: なし	①業態を登録 → ②店舗の登録モーダルを開く。その後①を削除して再度②を開く	登録した業態が「所属業態」に出現する。削除すると選択肢から消える（残る件数＝0件）	OP-026_マスタ参照のプルダウンが.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 業態 → 業態設定 ／ 設定 → 店舗 → 店舗設定	**未登録のマスタは参照できない。** インポートの順序依存と同じ構造（owner-mock	AC-106	1番 はじめて登録するときの順番（先に必要なもの）			§3.4.3
PS_セルフスタート	OP-027	1 / 3	登録モーダルが新規と編集で出し分けられる	前提データ: なし	「+ 追加」で開いた場合と、一覧の各行「編集」で開いた場合を比べる	新規＝タイトル「登録」・空1行・「＋行を追加」あり・一時保存あり・主ボタン「登録（N件）」／編集＝タイトル「編集」・プリフィル・複数行なし・一時保存なし・主ボタン「更新」	OP-027_登録モーダルが新規と編集.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定の各一覧画面（業態設定／店舗設定／雇用区分設定／従業員一覧／管理者一覧）	同一モーダルの出し分け（owner-mock 。経路による項目の欠落を作らない	AC-105	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			§3.4.2
PS_セルフスタート	OP-028	3	一覧から編集・削除ができる	前提データ: なし	運用更新画面の一覧で、各行の[編集]と[削除]を実行する	編集はプリフィルで開いて更新できる。削除は確認ダイアログの後に消える	OP-028_一覧から編集・削除ができる.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定の各一覧画面（業態設定／店舗設定／雇用区分設定／従業員一覧／管理者一覧）	全行に[編集][削除]がある（2026-06-24 追加）	AC-107	4番 登録した内容を直す・消す			
PS_セルフスタート	OP-029	3	運用更新モードの見え方	前提データ: なし	①〜④登録済みの状態で運用更新画面を開き、1件登録する	空状態のヒーローが出ず一覧のみ。登録後は右上トースト（8秒・ホバーで停止）が出る	OP-029_運用更新モードの見え方.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定の各一覧画面（業態設定／店舗設定／雇用区分設定／従業員一覧／管理者一覧）	運用中の人の作業を止めない（owner-mock	AC-104 / AC-113	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			§6
PS_セルフスタート	OP-030	1	業態は名前を入力して作成する	前提データ: なし	①業態の登録モーダルを開く	業態名がテキスト入力。登録済みから選ぶプルダウンではない	OP-030_業態は名前を入力して作成する.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 業態 → 業態設定	CSVテンプレート①と同一（データ契約準拠）	AC-110	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
PS_セルフスタート	OP-031	1	手入力だけで初期セットアップを完了できる	前提データ: D0-10／D1〜D4	CSVを使わず、①〜④を手入力で順に登録する	4項目すべてが完了し、運用更新モードに切り替わる。招待メールを送れる	OP-031_手入力だけで初期セットア.png	アップロード完了後のファイル名と件数の表示	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口） → アップロード（s-tpl1）→ 確認（s-tpl2）→ 完了（s-tpl3）	**CSVを使わない顧客の経路。** これが通らないとセルフスタートが成立しない	AC-108	2番 登録の手順（4種類そろえば打刻を始められます）			
PS_セルフスタート	OP-032	1 / 3	同じメールアドレスで二重に招待されない	前提データ: D0-11	同じメールアドレスの人を、④従業員（手入力またはCSV）と⑤管理者の両方で登録する	招待メールは1通のみ（2通目＝0通）。1アカウントに従業員と管理者の両方の権限が付く	OP-032_同じメールアドレスで二重.png	該当一覧の対象行（判定に使う列が読める倍率）。件数が変わる検証は総件数も写す	設定 → 従業員 → 従業員一覧 ／ 設定 → 管理者 → 管理者一覧 ／ 招待メールの受信箱	**アカウント＝メールアドレス単位、ロールは累積**（owner-mock 。2通届くと利用者が混乱する	AC-109	7番 管理者（同じメールアドレス） ／ 14番 同じ方が2人登録されてしまった			§16
PS_セルフスタート	OP-033	1	進捗が見える	前提データ: なし	①〜③まで登録した状態で初期セットアップ画面を開く	完了ステップ数と各ステップの登録件数が表示される	OP-033_進捗が見える.png	初期セットアップ画面のステップ一覧（登録済み件数と、進める／進めないの状態）	初期セットアップ画面（はじめてのご利用時に表示。手入力のステップ登録／CSVの入口）	残りが分からないと離脱する	AC-111	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
